mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0		0	1/4	Dynamic	2/4	1	1	0					p								
1	0	0	0	0.0		0	1/4	SystemText	2/4	1	1	0							ALLA TURCA						
1	0	0	0	0.0		0	1/4	Tempo	2/4	1	1	0								𝅗𝅥=68	136.0	𝅗𝅥	68.0	0.0	
1	0	0	0	0.0		0	1/4	Tempo	2/4	1	1	0								Allegretto	136.0			1.0	
1	0	0	0	0.0		0	1/4	Chord	2/4	1	1	0	grace16	1/16	1	0									
1	0	0	0	0.5		0	1/4	Chord	2/4	1	1	1/8		1/8	1	1									
1	0	1/2	1/2	0.25		1/8	3/8	Chord	2/4	1	1	1/16		1/16	1	2									
1	0	3/4	3/4	0.25		3/16	7/16	Chord	2/4	1	1	1/16		1/16	1	3									
2	1	1	1	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	4									
2	1	2	2	0.0		1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	5									
2	1	2	2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	6									
2	1	5/2	5/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	7									
2	1	11/4	11/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	8									
2	1	1	1	0.0		0	0	Dynamic	2/4	2	1	0					p								
2	1	1	1	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	9									0
2	1	3/2	3/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	10									
2	1	2	2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	11									
2	1	5/2	5/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	12									
3	2	3	3	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	13									
3	2	4	4	0.0		1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	14									
3	2	4	4	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	15									
3	2	9/2	9/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	16									
3	2	19/4	19/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	17									
3	2	3	3	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	18									1
3	2	7/2	7/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	19									
3	2	4	4	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	20									
3	2	9/2	9/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	21									
4	3	5	5	0.0		0	0	Chord	2/4	1	1	0	grace16	1/16	1	22									
4	3	5	5	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	23									
4	3	11/2	11/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	24									
4	3	23/4	23/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	25									
4	3	6	6	0.0		1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	26									
4	3	6	6	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	27									
4	3	13/2	13/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	28									
4	3	27/4	27/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	29									
4	3	5	5	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	30									
4	3	11/2	11/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	31									
4	3	6	6	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	32									
4	3	13/2	13/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	33									
5	4	7	7	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	34									
5	4	8	8	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	35									
5	4	17/2	17/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	36									
5	4	7	7	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	37									2
5	4	15/2	15/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	38									
5	4	8	8	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	39									
5	4	17/2	17/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	40									
6	5	9	9	0.0		0	0	Chord	2/4	1	1	0	grace16	1/32	1	41									
6	5	9	9	0.0		0	0	Chord	2/4	1	1	0	grace16	1/32	1	42									
6	5	9	9	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	43									
6	5	19/2	19/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	44									
6	5	10	10	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	45									
6	5	21/2	21/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	46									
6	5	9	9	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	47									
6	5	19/2	19/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	48									
6	5	10	10	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	49									
6	5	21/2	21/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	50									
7	6	11	11	0.0		0	0	Chord	2/4	1	1	0	grace16	1/32	1	51									
7	6	11	11	0.0		0	0	Chord	2/4	1	1	0	grace16	1/32	1	52									
7	6	11	11	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	53									
7	6	23/2	23/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	54									
7	6	12	12	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	55									
7	6	25/2	25/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	56									
7	6	11	11	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	57									
7	6	23/2	23/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	58									
7	6	12	12	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	59									
7	6	25/2	25/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	60									
8	7	13	13	0.0		0	0	Chord	2/4	1	1	0	grace16	1/32	1	61									
8	7	13	13	0.0		0	0	Chord	2/4	1	1	0	grace16	1/32	1	62									
8	7	13	13	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	63									
8	7	27/2	27/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	64									
8	7	14	14	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	65									
8	7	29/2	29/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	66									
8	7	13	13	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	67									
8	7	27/2	27/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	68									
8	7	14	14	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	69									
8	7	29/2	29/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	70									
9	8	15	15	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	71									
9	8	15	15	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	72									
10	8	16	16	0.5		0	1/4	Chord	2/4	1	1	1/8		1/8	1	73									
10	8	33/2	33/2	0.5		1/8	3/8	Chord	2/4	1	1	1/8		1/8	1	74									
11	9	17	17	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	75									
11	9	35/2	35/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	76									
11	9	18	18	0.0		1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	77									
11	9	18	18	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	78									
11	9	37/2	37/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	79									
11	9	75/4	75/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	80									
11	9	17	17	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	81									
11	9	35/2	35/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	82									
11	9	18	18	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	83									
11	9	37/2	37/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	84									
12	10	19	19	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	85									
12	10	20	20	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	86									
12	10	41/2	41/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	87									
12	10	19	19	0.5		0	0	Chord	2/4	1	2	1/8		1/8	1	88									
12	10	39/2	39/2	0.5		1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	89									
12	10	19	19	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	90									
13	11	21	21	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	91									
13	11	43/2	43/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	92									
13	11	22	22	0.0		1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	93									
13	11	22	22	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	94									
13	11	45/2	45/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	95									
13	11	91/4	91/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	96									
13	11	21	21	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	97									
13	11	43/2	43/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	98									
13	11	22	22	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	99									
13	11	45/2	45/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	100									
14	12	23	23	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	101									
14	12	24	24	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	102									
14	12	49/2	49/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	103									
14	12	23	23	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	104									
15	13	25	25	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	105									
15	13	51/2	51/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	106									
15	13	26	26	0.0		1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	107									
15	13	26	26	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	108									
15	13	53/2	53/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	109									
15	13	107/4	107/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	110									
15	13	25	25	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	111									
15	13	51/2	51/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	112									
15	13	26	26	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	113									
15	13	53/2	53/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	114									
16	14	27	27	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	115									
16	14	28	28	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	116									
16	14	57/2	57/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	117									
16	14	27	27	0.5		0	0	Chord	2/4	1	2	1/8		1/8	1	118									
16	14	55/2	55/2	0.5		1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	119									
16	14	27	27	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	120									
17	15	29	29	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	121									
17	15	59/2	59/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	122									
17	15	30	30	0.0		1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	123									
17	15	30	30	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	124									
17	15	61/2	61/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	125									
17	15	123/4	123/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	126									
17	15	29	29	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	127									
17	15	59/2	59/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	128									
17	15	30	30	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	129									
17	15	61/2	61/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	130									
18	16	31	31	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	131									
18	16	32	32	0.0		1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	132									
18	16	32	32	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	133									
18	16	65/2	65/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	134									
18	16	131/4	131/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	135									
18	16	31	31	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	136									
19	17	33	33	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	137									
19	17	34	34	0.0		1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	138									
19	17	34	34	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	139									
19	17	69/2	69/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	140									
19	17	139/4	139/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	141									
19	17	33	33	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	142									3
19	17	67/2	67/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	143									
19	17	34	34	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	144									
19	17	69/2	69/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	145									
20	18	35	35	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	146									
20	18	36	36	0.0		1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	147									
20	18	36	36	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	148									
20	18	73/2	73/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	149									
20	18	147/4	147/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	150									
20	18	35	35	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	151									4
20	18	71/2	71/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	152									
20	18	36	36	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	153									
20	18	73/2	73/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	154									
21	19	37	37	0.0		0	0	Chord	2/4	1	1	0	grace16	1/16	1	155									
21	19	37	37	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	156									
21	19	75/2	75/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	157									
21	19	151/4	151/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	158									
21	19	38	38	0.0		1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	159									
21	19	38	38	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	160									
21	19	77/2	77/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	161									
21	19	155/4	155/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	162									
21	19	37	37	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	163									
21	19	75/2	75/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	164									
21	19	38	38	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	165									
21	19	77/2	77/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	166									
22	20	39	39	0.0		0	0	Dynamic	2/4	1	1	0					f								
22	20	39	39	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	167									
22	20	40	40	0.0		1/4	1/4	Dynamic	2/4	1	1	0					p								
22	20	40	40	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	168									
22	20	81/2	81/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	169									
22	20	39	39	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	170									5
22	20	79/2	79/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	171									
22	20	40	40	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	172									
22	20	81/2	81/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	173									
23	21	41	41	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	174									
23	21	83/2	83/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	175									
23	21	42	42	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	176									
23	21	85/2	85/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	177									
23	21	41	41	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	178									
23	21	83/2	83/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	179									
23	21	42	42	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	180									
23	21	85/2	85/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	181									
24	22	43	43	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	182									
24	22	87/2	87/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	183									
24	22	44	44	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	184									
24	22	89/2	89/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	185									
24	22	43	43	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	186									
24	22	87/2	87/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	187									
24	22	44	44	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	188									
24	22	89/2	89/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	189									
25	23	45	45	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	190									
25	23	46	46	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	191		ornamentTrill							
25	23	187/4	187/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	192									
25	23	375/8	375/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	193									
25	23	45	45	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	194									
25	23	91/2	91/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	195									
25	23	46	46	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	196									
25	23	93/2	93/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	197									
26	24	47	47	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	198									
26	24	47	47	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	199									
27	24	48	48	0.0		0	1/4	Dynamic	2/4	1	1	0					f								
27	24	48	48	0.5		0	1/4	Chord	2/4	1	1	1/8		1/8	1	200									
27	24	97/2	97/2	0.5		1/8	3/8	Chord	2/4	1	1	1/8		1/8	1	201									
28	25	49	49	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	202									
28	25	50	50	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	203									
28	25	101/2	101/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	204									
28	25	49	49	0.0		0	0	Dynamic	2/4	2	1	0					f								
28	25	49	49	0.0		0	0	Chord	2/4	2	1	0	grace32	1/32	1	205									
28	25	49	49	0.0		0	0	Chord	2/4	2	1	0	grace32	1/32	1	206									
28	25	49	49	0.0		0	0	Chord	2/4	2	1	0	grace32	1/32	1	207									
28	25	49	49	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	208									
28	25	99/2	99/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	209									
28	25	50	50	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	210									
28	25	101/2	101/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	211									
29	26	51	51	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	212									
29	26	103/2	103/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	213									
29	26	52	52	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	214									
29	26	105/2	105/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	215									
29	26	51	51	0.0		0	0	Chord	2/4	2	1	0	grace32	1/32	1	216									
29	26	51	51	0.0		0	0	Chord	2/4	2	1	0	grace32	1/32	1	217									
29	26	51	51	0.0		0	0	Chord	2/4	2	1	0	grace32	1/32	1	218									
29	26	51	51	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	219									
29	26	103/2	103/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	220									
29	26	52	52	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	221									
29	26	105/2	105/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	222									
30	27	53	53	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	223									
30	27	107/2	107/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	224									
30	27	54	54	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	225									
30	27	109/2	109/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	226									
30	27	53	53	0.0		0	0	Chord	2/4	2	1	0	grace32	1/32	1	227									
30	27	53	53	0.0		0	0	Chord	2/4	2	1	0	grace32	1/32	1	228									
30	27	53	53	0.0		0	0	Chord	2/4	2	1	0	grace32	1/32	1	229									
30	27	53	53	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	230									
30	27	107/2	107/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	231									
30	27	54	54	0.0		1/4	1/4	Chord	2/4	2	1	0	grace32	1/32	1	232									
30	27	54	54	0.0		1/4	1/4	Chord	2/4	2	1	0	grace32	1/32	1	233									
30	27	54	54	0.0		1/4	1/4	Chord	2/4	2	1	0	grace32	1/32	1	234									
30	27	54	54	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	235									
30	27	109/2	109/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	236									
31	28	55	55	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	237									
31	28	111/2	111/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	238									
31	28	56	56	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	239									
31	28	113/2	113/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	240									
31	28	55	55	0.0		0	0	Chord	2/4	2	1	0	grace32	1/32	1	241									
31	28	55	55	0.0		0	0	Chord	2/4	2	1	0	grace32	1/32	1	242									
31	28	55	55	0.0		0	0	Chord	2/4	2	1	0	grace32	1/32	1	243									
31	28	55	55	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	244									
31	28	111/2	111/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	245									
31	28	56	56	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	246									
31	28	113/2	113/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	247									
32	29	57	57	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	248									
32	29	58	58	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	249									
32	29	117/2	117/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	250									
32	29	57	57	0.0		0	0	Chord	2/4	2	1	0	grace32	1/32	1	251									
32	29	57	57	0.0		0	0	Chord	2/4	2	1	0	grace32	1/32	1	252									
32	29	57	57	0.0		0	0	Chord	2/4	2	1	0	grace32	1/32	1	253									
32	29	57	57	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	254									
32	29	115/2	115/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	255									
32	29	58	58	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	256									
32	29	117/2	117/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	257									
33	30	59	59	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	258									
33	30	119/2	119/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	259									
33	30	60	60	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	260									
33	30	121/2	121/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	261									
33	30	59	59	0.0		0	0	Chord	2/4	2	1	0	grace32	1/32	1	262									
33	30	59	59	0.0		0	0	Chord	2/4	2	1	0	grace32	1/32	1	263									
33	30	59	59	0.0		0	0	Chord	2/4	2	1	0	grace32	1/32	1	264									
33	30	59	59	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	265									
33	30	119/2	119/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	266									
33	30	60	60	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	267									
