mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
33	30	121/2	121/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	268									
34	31	61	61	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	269									
34	31	123/2	123/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	270									
34	31	62	62	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	271									
34	31	125/2	125/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	272									
34	31	61	61	0.0		0	0	Chord	2/4	2	1	0	grace32	1/32	1	273									
34	31	61	61	0.0		0	0	Chord	2/4	2	1	0	grace32	1/32	1	274									
34	31	61	61	0.0		0	0	Chord	2/4	2	1	0	grace32	1/32	1	275									
34	31	61	61	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	276									
34	31	123/2	123/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	277									
34	31	62	62	0.0		1/4	1/4	Chord	2/4	2	1	0	grace32	1/32	1	278									
34	31	62	62	0.0		1/4	1/4	Chord	2/4	2	1	0	grace32	1/32	1	279									
34	31	62	62	0.0		1/4	1/4	Chord	2/4	2	1	0	grace32	1/32	1	280									
34	31	62	62	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	281									
34	31	125/2	125/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	282									
35	32	63	63	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	283									
35	32	63	63	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	284									
36	32	64	64	0.0		0	1/4	Dynamic	2/4	1	1	0					p								
36	32	64	64	0.25		0	1/4	Chord	2/4	1	1	1/16		1/16	1	285									
36	32	257/4	257/4	0.25		1/16	5/16	Chord	2/4	1	1	1/16		1/16	1	286									
36	32	129/2	129/2	0.25		1/8	3/8	Chord	2/4	1	1	1/16		1/16	1	287									
36	32	259/4	259/4	0.25		3/16	7/16	Chord	2/4	1	1	1/16		1/16	1	288									
37	33	65	65	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	289									
37	33	261/4	261/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	290									
37	33	131/2	131/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	291									
37	33	263/4	263/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	292									
37	33	66	66	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	293									
37	33	265/4	265/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	294									
37	33	133/2	133/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	295									
37	33	267/4	267/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	296									
37	33	65	65	0.0		0	0	Dynamic	2/4	2	1	0					p								
37	33	65	65	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	297									
37	33	131/2	131/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	298									
37	33	66	66	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	299									
37	33	133/2	133/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	300									
38	34	67	67	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	301									
38	34	269/4	269/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	302									
38	34	135/2	135/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	303									
38	34	271/4	271/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	304									
38	34	68	68	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	305									
38	34	273/4	273/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	306									
38	34	137/2	137/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	307									
38	34	275/4	275/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	308									
38	34	67	67	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	309									
38	34	135/2	135/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	310									
38	34	68	68	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	311									
38	34	137/2	137/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	312									
39	35	69	69	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	313									
39	35	277/4	277/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	314									
39	35	139/2	139/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	315									
39	35	279/4	279/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	316									
39	35	70	70	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	317									
39	35	281/4	281/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	318									
39	35	141/2	141/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	319									
39	35	283/4	283/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	320									
39	35	69	69	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	321									
39	35	139/2	139/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	322									
39	35	70	70	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	323									
39	35	141/2	141/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	324									
40	36	71	71	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	325									
40	36	285/4	285/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	326									
40	36	143/2	143/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	327									
40	36	287/4	287/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	328									
40	36	72	72	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	329									
40	36	289/4	289/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	330									
40	36	145/2	145/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	331									
40	36	291/4	291/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	332									
40	36	71	71	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	333									
40	36	143/2	143/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	334									
40	36	72	72	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	335									
40	36	145/2	145/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	336									
41	37	73	73	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	337									
41	37	293/4	293/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	338									
41	37	147/2	147/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	339									
41	37	295/4	295/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	340									
41	37	74	74	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	341									
41	37	297/4	297/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	342									
41	37	149/2	149/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	343									
41	37	299/4	299/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	344									
41	37	73	73	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	345									
41	37	147/2	147/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	346									
41	37	74	74	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	347									
41	37	149/2	149/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	348									
42	38	75	75	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	349									
42	38	301/4	301/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	350									
42	38	151/2	151/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	351									
42	38	303/4	303/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	352									
42	38	76	76	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	353									
42	38	305/4	305/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	354									
42	38	153/2	153/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	355									
42	38	307/4	307/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	356									
42	38	75	75	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	357									
42	38	151/2	151/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	358									
42	38	76	76	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	359									
42	38	153/2	153/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	360									
43	39	77	77	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	361									
43	39	309/4	309/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	362									
43	39	155/2	155/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	363									
43	39	311/4	311/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	364									
43	39	78	78	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	365									
43	39	313/4	313/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	366									
43	39	157/2	157/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	367									
43	39	315/4	315/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	368									
43	39	77	77	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	369									
43	39	155/2	155/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	370									
43	39	78	78	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	371									
43	39	157/2	157/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	372									
44	40	79	79	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	373									
44	40	79	79	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	374									
45	40	80	80	0.25		0	1/4	Chord	2/4	1	1	1/16		1/16	1	375									
45	40	321/4	321/4	0.25		1/16	5/16	Chord	2/4	1	1	1/16		1/16	1	376									
45	40	161/2	161/2	0.25		1/8	3/8	Chord	2/4	1	1	1/16		1/16	1	377									
45	40	323/4	323/4	0.25		3/16	7/16	Chord	2/4	1	1	1/16		1/16	1	378									
46	41	81	81	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	379									
46	41	325/4	325/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	380									
46	41	163/2	163/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	381									
46	41	327/4	327/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	382									
46	41	82	82	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	383									
46	41	329/4	329/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	384									
46	41	165/2	165/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	385									
46	41	331/4	331/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	386									
46	41	81	81	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	387									
46	41	163/2	163/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	388									
46	41	82	82	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	389									
46	41	165/2	165/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	390									
47	42	83	83	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	391									6
47	42	333/4	333/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	392									6
47	42	167/2	167/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	393									6
47	42	335/4	335/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	394									
47	42	84	84	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	395									7
47	42	337/4	337/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	396									7
47	42	169/2	169/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	397									7
47	42	339/4	339/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	398									
47	42	83	83	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	399									
47	42	167/2	167/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	400									
47	42	84	84	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	401									
47	42	169/2	169/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	402									
48	43	85	85	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	403									
48	43	341/4	341/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	404									
48	43	171/2	171/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	405									
48	43	343/4	343/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	406									
48	43	86	86	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	407									
48	43	345/4	345/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	408									
48	43	173/2	173/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	409									
48	43	347/4	347/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	410									
48	43	85	85	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	411									
48	43	171/2	171/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	412									
48	43	86	86	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	413									
48	43	173/2	173/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	414									
49	44	87	87	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	415									8
49	44	175/2	175/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	416									
49	44	88	88	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	417									
49	44	353/4	353/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	418									
49	44	177/2	177/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	419									
49	44	355/4	355/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	420									
49	44	87	87	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	421									
49	44	175/2	175/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	422									
49	44	88	88	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	423									
49	44	177/2	177/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	424									
50	45	89	89	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	425									
50	45	357/4	357/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	426									
50	45	179/2	179/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	427									
50	45	359/4	359/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	428									
50	45	90	90	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	429									
50	45	361/4	361/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	430									
50	45	181/2	181/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	431									
50	45	363/4	363/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	432									
50	45	89	89	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	433									
50	45	179/2	179/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	434									
50	45	90	90	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	435									
50	45	181/2	181/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	436									
51	46	91	91	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	437									9
51	46	365/4	365/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	438									9
51	46	183/2	183/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	439									9
51	46	367/4	367/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	440									
51	46	92	92	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	441									10
51	46	369/4	369/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	442									10
51	46	185/2	185/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	443									10
51	46	371/4	371/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	444									
51	46	91	91	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	445									
51	46	183/2	183/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	446									
51	46	92	92	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	447									
51	46	185/2	185/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	448									
52	47	93	93	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	449									
52	47	373/4	373/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	450									
52	47	187/2	187/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	451									
52	47	375/4	375/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	452									
52	47	94	94	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	453									
52	47	377/4	377/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	454									
52	47	189/2	189/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	455									
52	47	379/4	379/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	456									
52	47	93	93	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	457									
52	47	187/2	187/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	458									
52	47	94	94	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	459									
52	47	189/2	189/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	460									
53	48	95	95	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	461									
53	48	96	96	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	462									
53	48	385/4	385/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	463									
53	48	193/2	193/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	464									
53	48	387/4	387/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	465									
53	48	95	95	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	466									
53	48	191/2	191/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	467									
54	49	97	97	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	468									
54	49	389/4	389/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	469									
54	49	195/2	195/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	470									
54	49	391/4	391/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	471									
54	49	98	98	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	472									
54	49	393/4	393/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	473									
54	49	197/2	197/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	474									
54	49	395/4	395/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	475									
54	49	97	97	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	476									
54	49	195/2	195/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	477									
54	49	98	98	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	478									
54	49	197/2	197/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	479									
55	50	99	99	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	480									
55	50	397/4	397/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	481									
55	50	199/2	199/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	482									
55	50	399/4	399/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	483									
55	50	100	100	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	484									
55	50	401/4	401/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	485									
55	50	201/2	201/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	486									
55	50	403/4	403/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	487									
55	50	99	99	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	488									
55	50	199/2	199/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	489									
55	50	100	100	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	490									
55	50	201/2	201/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	491									
56	51	101	101	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	492									
56	51	405/4	405/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	493									
56	51	203/2	203/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	494									
56	51	407/4	407/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	495									
56	51	102	102	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	496									
56	51	409/4	409/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	497									
56	51	205/2	205/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	498									
56	51	411/4	411/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	499									
56	51	101	101	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	500									
56	51	203/2	203/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	501									
56	51	102	102	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	502									
56	51	205/2	205/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	503									
57	52	103	103	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	504									
57	52	413/4	413/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	505									
57	52	207/2	207/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	506									
57	52	415/4	415/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	507									
57	52	104	104	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	508									
57	52	417/4	417/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	509									
57	52	209/2	209/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	510									
57	52	419/4	419/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	511									
57	52	103	103	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	512									
57	52	207/2	207/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	513									
57	52	104	104	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	514									
57	52	209/2	209/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	515									
58	53	105	105	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	516									
58	53	421/4	421/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	517									
58	53	211/2	211/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	518									
58	53	423/4	423/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	519									
58	53	106	106	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	520									
58	53	425/4	425/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	521									
58	53	213/2	213/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	522									
58	53	427/4	427/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	523									
58	53	105	105	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	524									
58	53	211/2	211/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	525									
